1776,31.236009,121.478941,29540,21,25440,18,43548,32,29564,21,28188,22,32431,24,38888,31,36432,27,42516,31,51671,38,44643,32,19446,16,22535,17,36257,27,21135,15,42127,30,43847,34,44739,33,29190,24,19552,14,39528,29,37832,32,33491,26,29528,23,45308,32,12787,11,14096,11,32106,23,25126,20,35373,26,32401,24
931,31.17023,121.337413,82358,66,94801,70,133259,101,131278,106,169207,133,166628,131,201892,165,123628,104,139995,102,134587,110,136878,113,132654,109,140847,107,105201,82,138251,109,127150,97,193022,149,154737,125,172956,130,123719,95,150593,115,124012,94,129066,100,88638,70,117918,97,90515,74,57859,45,104373,81,86770,72,88874,73,86043,66
466,31.04139,121.741651,27740,22,16532,14,16760,14,27392,22,20520,16,23505,17,28159,20,14958,13,15296,13,8055,7,19386,15,19268,17,25266,18,18022,13,20132,15,13905,10,19110,14,13704,11,27295,21,16838,13,15022,12,16627,14,24880,18,31714,25,9855,8,13806,11,28335,24,33432,26,15344,12,9485,7,17287,15
1015,31.18158,121.295188,0,0,0,0,1366,1,0,0,0,0,1432,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1425,1,0,0,0,0,0,0,0,0,0,0
771,31.142588,121.756503,4304,3,2878,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1415,1,2785,2,0,0,0,0,2878,2,0,0,2814,2,1425,1,0,0,4292,3,0,0,1439,1,0,0,0,0,0,0,0,0,2593,2,0,0,0,1,1429,1
1799,31.236842,121.433815,2862,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2851,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
258,30.940176,121.086747,2769,2,2786,2,0,0,1418,1,0,0,1433,1,0,0,5665,5,0,0,0,0,1387,1,2771,2,3783,3,0,0,0,0,0,0,0,0,2851,2,2698,2,0,0,5610,4,0,0,1322,1,1439,1,5693,5,0,0,4237,3,0,0,0,0,5378,4,0,0
1558,31.224551,121.547983,0,0,0,0,0,0,3916,3,9616,7,2662,2,0,0,5634,4,1430,1,0,0,0,0,15623,11,6744,5,0,0,4289,3,4176,3,5255,4,0,0,1399,1,0,0,0,0,0,0,1437,1,0,0,0,0,2830,2,40074,29,0,0,0,0,0,0,0,0
1451,31.217323,121.753758,18423,13,4254,4,7148,7,12588,9,8276,6,14218,13,5592,5,2765,2,8359,6,5679,4,5694,5,9812,7,4252,4,11212,9,12713,10,11030,8,9862,7,2869,2,20723,16,11474,9,5618,6,12870,9,11101,9,7033,7,12775,15,8538,6,16872,13,7175,6,4285,3,4178,3,8536,6
2713,31.324464,121.387532,92882,71,57970,50,78932,62,56640,43,63467,48,62077,47,45599,39,86439,67,96069,84,73192,68,85431,66,71991,57,75351,59,91659,74,121885,98,70284,53,66534,51,55792,41,46487,37,52409,38,42375,31,39924,31,51462,40,62580,48,59515,43,56755,50,50847,39,50879,38,56639,42,72093,53,38304,31
